Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Chiciudean2022	PMV2	Quantatative	8,3	0,751	43,825694	28,560556	Cave Sediments	Sediment	Illumina NovaSeq 6000			PRJNA777757	SRR16971108	109,47	12,61	20,6									
Chiciudean2022	PMV1	Quantatative	8,5	0,27	43,825694	28,560556	Cave Sediments	Sediment	Illumina NovaSeq 6000			PRJNA777757	SRR16971109	130,11	18,11	20,8									
Chiciudean2022	PMV7	Quantatative	8,9	0,119	43,825694	28,560556	Cave Sediments	Sediment	Illumina NovaSeq 6000			PRJNA777757	SRR16971104	148,75	16,32	20,6									
Chiciudean2022	PMV8	Quantatative	9,2	0,0606	43,825694	28,560556	Cave Sediments	Sediment	Illumina NovaSeq 6000			PRJNA777757	SRR16971103	158,18	10,47	20,8									
Colman2024	PF01	Quantatative	2,12	6,28	44,24158	-110,72458	Hot spring	Sediment				PRJNA791658	SRR25522548			81,9									
Colman2024	SYL01	Quantatative	2,304	6,1	44,70007	-110,76842	Hot spring	Sediment				PRJNA791658	SRR25522547			76,9									
Colman2024	GCR05	Quantatative	8,415	5,89	44,689	-110,72839	Hot spring	Sediment				PRJNA791658	SRR25522544			69,8									
Colman2024	NOR02	Quantatative	7,162	5,712	44,72658	-110,70914	Hot spring	Sediment				PRJNA791658	SRR25522556			85,5									
Colman2024	NOR04	Quantatative	2,888	5,65	44,732445	-110,709871	Hot spring	Sediment				PRJNA791658	SRR25522553			82,7									
Colman2024	GRV02	Quantatative	1,285	5,6	44,73616	-110,70644	Hot spring	Sediment				PRJNA791658	SRR25522565			91,3*									
Colman2024	SYL03	Quantatative	2,406	5,595	44,69956	-110,76673	Hot spring	Sediment				PRJNA791658	SRR25522545			85,0									
Colman2024	GCR07	Quantatative	6,077	5,38	44,69067	-110,72977	Hot spring	Sediment				PRJNA791658	SRR25522540			85,8									
Colman2024	GCR11	Quantatative	6,607	5,18	44,68915	-110,7285	Hot spring	Sediment				PRJNA791658	SRR25522538			73,7									
Colman2024	GCR10	Quantatative	6,017	5,09	44,69038	-110,7289	Hot spring	Sediment				PRJNA791658	SRR25522539			77,3									
Colman2024	Control 1 replicate 3	Quantatative	2,841	4,99	44,76694	-110,42964	Hot spring	Sediment				PRJNA791658	SRR25522542			71,1									
Colman2024	SYL02	Quantatative	5,798	4,972	44,69893	-110,76843	Hot spring	Sediment				PRJNA791658	SRR25522546			78,1									
Colman2024	MGB02	Quantatative	8,991	4,369	44,51987	-110,81077	Hot spring	Sediment				PRJNA791658	SRR25522561			86,9									
