Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Michoud2025	Gl114_u_Nepal	Quantatative	8,262	0,593	28,77632	83,99507	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406 	SRR23617208			1,9									
Michoud2025	Gl130_u_KZ	Quantatative	8,33	0,33	41,8245	78,1545	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406 	SRR23617183			3									
Michoud2025	Gl100_u_Alp	Quantatative	7,8	0,238	44,883	6,2934	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406 	SRR23617155			2,2									
Michoud2025	Gl22_u_Alp	Quantatative	9,24	0,1203	45,9166	7,2669	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617151			0,2									
Michoud2025	Gl106_u_Nepa	Quantatative	7,66	0,1058	28,19602	85,69055	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617251			0,6									
Michoud2025	Gl16_u_NZ	Quantatative	10,18	0,0958	-43,794	170,0643	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617156			5,7									
Michoud2025	Gl103_u_Nepal	Quantatative	7,92	0,0862	28,2298	85,56236	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617295			0,2									
Michoud2025	Gl133_u_KZ	Quantatative	9,14	0,0849	41,8879	77,6879	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617179			0,1									
Michoud2025	Gl54_u_Caucasus	Quantatative	7,91	0,0685	43,2721	42,4468	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617289			4,1									
Michoud2025	GL12_Up_NZ	Quantatative	9,83	0,0667	-44,4803	168,7265	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617186			6,6									
Michoud2025	Gl116_u_Nepal	Quantatative	9,106	0,0351	27,90124	86,87882	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617204			0,7									
Michoud2025	Gl81_u_Alp	Quantatative	8,59	0,0348	46,4035	9,8695	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617257			0,8									
Michoud2025	Gl122_u_KZ	Quantatative	8,92	0,0302	42,4755	74,4829	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617193			0,3									
Michoud2025	Gl99_u_Alp	Quantatative	7,4	0,0288	45,8973	6,8842	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617213			0									
Michoud2025	Gl88_u_NZ	Quantatative	7,18	0,0165	69,4654	19,8359	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617248			0,9									
Michoud2025	Gl124_u_KZ	Quantatative	9,819	0,0162	42,4383	74,4595	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617191			0,5									
Michoud2025	Gl73_u_Ecuador	Quantatative	5,08	0,0153	-1,4612	-78,7769	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617270			0,8									
Michoud2025	GL15_u_NZ	Quantatative	6,47	0,0104	-44,6121	168,0218	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617158			1,4									
Michoud2025	Gl140_2_Ug	Quantatative	6,94	0,0104	0,3758	29,8785	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617167			0,4									
Michoud2025	Gl74_u_Ecuador	Quantatative	4,9	0,0103	-1,4051	-78,7559	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617268			1,5									
Michoud2025	Gl86_u_Norway	Quantatative	8,32	0,0098	69,4734	20,0001	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617250			2,7									
Michoud2025	Gl140_5_Ug	Quantatative	6,5	0,0097	0,3758	29,8785	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617163			0,8									
Michoud2025	GL_13_u_NZ	Quantatative	6,76	0,0093	-44,0819	169,4317	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617169			0,7									
Michoud2025	Gl75_u_Ecuador	Quantatative	4,42	0,0061	-1,4462	-78,804	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406	SRR23617266			0									
Michoud2025	Gl36_u_Greenland	Quantatative	6,06	0,0052	64,1211	-51,4805	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617239			7,3									
Michoud2025	Gl91_u_Norway	Quantatative	6,65	0,0013	61,7124	7,2921	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA781406	SRR23617231			1									
Muzami2025	KK3	Quantatative	5,45	0,0012	-1,0514	36,9608	Agricultural Soil	Soil	Illumina NovaSeq 6000		CTAB	SRR30184006	SRR30184006	-	-	-									
Nathani2021	GOCS1	Qualatative		3,04	21,835	72	Estuary	Sediment	Illumina HiSeq 4000			PRJEB26614	ERR2564001												
Nathani2021	GOCS2	Qualatative		3,04	22	72	Estuary	Sediment	Illumina HiSeq 4000			PRJEB26614	ERR2564002												
Nathani2021	GOCS3	Qualatative		3,04	21,46916667	72,4091667	Estuary	Sediment	Illumina HiSeq 4000			PRJEB26614	ERR2564003												
Nathani2021	GOCS4	Qualatative		3,04	21,38055556	72,22111	Estuary	Sediment	Illumina HiSeq 4000			PRJEB26614	ERR2564004												
Nathani2021	GOCS5	Qualatative		3,04	20,7325	70,6561111	Estuary	Sediment	Illumina HiSeq 4000			PRJEB26614	ERR2564005												
Noell 2024	Mel1-3	Quantatative	6,43	0,01277	-74,350016	164,700139	Geothermal Soil	Soil				PRJNA1113340	SRR29089224	0,006361	0	52									
Noell 2024	Ritt1-3	Quantatative	6,73	0,00815	-73,448445	165,497444	Geothermal Soil	Soil	Illumina Hi-Seq 4000	NEBNext Ultra DNA Library Prep Kit		PRJNA1113340	SRR29089223	0,02482	0,034976	69									
Noell 2024	Ritt3M-3	Quantatative	6	0,00728	-73,448445	165,497444	Geothermal Soil	Soil	Illumina Hi-Seq 4000			PRJNA1113340	SRR29089222	0,03642	0	65									
Noell 2024	WC-50	Quantatative	9,2	0,00639	-77,519167	167,187778	Geothermal Soil	Soil	Illumina Hi-Seq 4000			PRJNA1113340	SRR29089225	3	0,6412	50			0,35 (g/kg)						
Park2021	Melbourne,5_1,MG	Quantatative			-74,355	164,6955	Geothermal Soil	Soil	Illumina HiSeq4000	TruSeq Nano DNA Library Prep ki		PRJNA685225	SRR13254584												
Passi2024	ena-EXPERIMENT-TAB-21-06-2023-17:25:10:062-50267	Qualatative			69,59	26,15	Tundra	Soil				ENA	ERR11584944												
Paul2023	EPS170215	Qualatative	9,9		9,901885	-85,454327	Hot spring	Sediment	Illumina NextSeq 500			PRJNA627197	SRR11582139			26									
Paul2023	AR170220	Qualatative			10,4861	-84,6872	Geothermal Soil	Soil	Illumina NextSeq 500			PRJNA627197	SRR11582142												
Paul2023	CYS170214	Qualatative	6,3		10,287497	-84,955524	Hot spring	Sediment	Illumina NextSeq 500			PRJNA627197	SRR11582143			72									
Paul2023	BR1S70218	Qualitative	6,2		10,89837	-85,32839	Hot spring	Sediment	Illumina NextSeq 500			PRJNA627197	SRR11582147			59									
Paul2023	PBS170224	Qualatative			10,188962	-84,227388	Geothermal Soil	Soil	Illumina NextSeq 500			PRJNA627197	SRR11582165												
Paul2023	ETS170220	Qualatative	6,1		10,484006	-84,675853	Hot spring	Sediment	Illumina NextSeq 500			PRJNA627197	SRR11582173			40									
Remenyik2024	S16	Quantatative	4,19	1,5	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573057												
Remenyik2024	S15	Quantatative	4,56	1,003	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573058												
Remenyik2024	S27	Quantatative	5,66	0,762	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573045												
Remenyik2024	S48	Quantatative	5,11	0,678	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573022												
Remenyik2024	S14	Quantatative	4,68	0,668	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573059												
Remenyik2024	S26	Quantatative	5,04	0,638	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573046												
Remenyik2024	S60	Quantatative	5,45	0,567	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573009												
Remenyik2024	S25	Quantatative	4,95	0,476	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573047												
Remenyik2024	S47	Quantatative	4,96	0,457	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573023												
Remenyik2024	S13	Quantatative	3,61	0,342	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573060												
Remenyik2024	S38	Quantatative	5,59	0,316	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573033												
Remenyik2024	S39	Quantatative	5,34	0,306	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573032												
Remenyik2024	S8	Quantatative	6,55	0,295	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573007												
Remenyik2024	S5	Quantatative	6,7	0,287	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573030												
Remenyik2024	S40	Quantatative	5,25	0,285	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573031												
Remenyik2024	S7	Quantatative	6,57	0,268	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573008												
Remenyik2024	S9	Quantatative	6,69	0,265	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573006												
Remenyik2024	S33	Quantatative	4,83	0,257	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573038												
Remenyik2024	S20	Quantatative	3,43	0,254	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573053												
Remenyik2024	S10	Quantatative	6,63	0,244	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573005												
Remenyik2024	S1	Quantatative	6,63	0,233	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573064												
Remenyik2024	S19	Quantatative	3,49	0,222	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573054												
Remenyik2024	S17	Quantatative	3,78	0,222	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573056												
Remenyik2024	S12	Quantatative	3,66	0,191	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573061												
Remenyik2024	S54	Quantatative	4,57	0,179	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573015												
Remenyik2024	S57	Quantatative	4,45	0,17	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573012												
Remenyik2024	S50	Quantatative	3,59	0,157	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573020												
Remenyik2024	S46	Quantatative	4,54	0,142	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573024												
Remenyik2024	S43	Quantatative	4,64	0,138	48,19	21,27	Agricultural Soil	Soil	llumina NovaSeq 6000			PRJNA909960	SRR22573027												
Remenyik2024	S11	Quantatative	3,74	0,102	48,19	21,27	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA909960	SRR22573062												
Ren2018	A1	Qualitative	8,36		37,85725	80,49236	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004600												
Ren2018	A2	Qualitative	8,25		37,859	80,49314	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004601												
Ren2018	A3	Qualitative	8,04		37,85675	80,4925	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004602												
Ren2018	B2	Qualitative	9,18		37,46622	79,57383	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004604												
Ren2018	B3	Qualitative	8,67		37,46267	79,57133	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004605												
Ren2018	C1	Qualitative	8,73		37,58283	80,14686	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004606												
Ren2018	C2	Qualitative	8,74		37,58292	80,14758	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004607												
Ren2018	C3	Qualitative	8,65		37,58361	80,14725	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004608												
Ren2018	D1	Qualitative	8,57		41,03753	82,54983	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004609												
Ren2018	D3	Qualitative	8,14		41,03756	82,54833	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004611												
Ren2018	E1	Qualitative	7,99		41,15975	82,94144	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004612												
Ren2018	E2	Qualitative	8,03		41,16	82,94058	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004613												
Ren2018	E3	Qualitative	7,86		41,16022	82,94267	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004614												
Ren2018	F1	Qualitative	8,75		40,9195	83,12964	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004615												
Ren2018	F2	Qualitative	8,66		40,92072	83,129	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004616												
Ren2018	F3	Qualitative	9,15		40,92081	83,12828	Arid Soil	Soil	NextSeq 500			PRJEB21269	ERR2004617												
Ren2025	Lake_Manyara_Sediment	Qualitative			-3,702	35,82	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069367												
Ren2025	small_momela_lake_Sediment	Qualitative			-3,2195	36,98	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069368												
Ren2025	Lake_eyasi_Sediment	Qualitative			-3,566	35,25	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069370												
Ren2025	Lake_jipe_Sediment	Qualitative			-3,6311	37,75	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069382												
Ren2025	Lake_Balangita_Sediment	Qualitative			-4,4	35,3	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069394												
Ren2025	Lake_kindai_Sediment	Qualitative			-4,8352	34,73	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069403												
Ren2025	Big_momela_lake_Sediment	Qualitative			-3,2254	36,9	Soda Lake	Sediment	Illumina NovaSeq 6000		NEB Next Ultra DNA Library Prep Kit	PRJNA857294	SRR20069404												
Rodrigeuz-Cruz2024	C1M08	Qualitative			26,82825	-102,02464	Salt lake	Sediment	Illumina MiSeq			PRJNA847603	SRR21542051												
Singleton2025	MFD00960	Qualitative			57,65357	10,40729	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27942845												
Singleton2025	MFD01199	Qualitative			55,7433	9,43608	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973146												
Singleton2025	MFD00665	Qualitative			55,30614	9,8969	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27942915												
Singleton2025	MFD00546	Qualitative			54,9912	12,5326	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27942984												
Singleton2025	MFD00534	Qualitative			56,6628	8,9691	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27942997												
Singleton2025	MFD00533	Qualitative			56,6696	8,9477	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27942998												
Singleton2025	MFD00499	Qualitative			55,4373	11,5897	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943004												
Singleton2025	MFD00496	Qualitative			55,64691501	12,64326073	city_parks	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943007												
Singleton2025	MFD00490	Qualitative			55,66285751	12,63996073	CIty Pond	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR27943014												
Singleton2025	MFD00481	Qualitative			55,64096962	12,51735233	city_parks	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943023												
Singleton2025	MFD00474	Qualitative			55,67958306	12,54497854	city_greenspace	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943031												
Singleton2025	MFD00360	Qualitative			54,7545	11,4872	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943092												
Singleton2025	MFD00886	Qualitative			55,2713	8,94073	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943149												
Singleton2025	MFD00516	Qualitative			57,3168	9,7837	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943278												
Singleton2025	MFD00508	Qualitative			56,5403	10,2915	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943287												
Singleton2025	MFD00463	Qualitative			55,736357	12,526018	city_greenspace	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943305												
Singleton2025	MFD00462	Qualitative			55,736281	12,526207	city_greenspace	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943306												
Singleton2025	MFD00205	Qualitative			56,894572	9,1699704	stream 	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR27943461												
Singleton2025	MFD00947	Qualitative			56,0693	8,10094	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943545												
Singleton2025	MFD00764	Qualitative			56,28441	10,47007	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943544												
Singleton2025	MFD00760	Qualitative			57,15117	8,99458	Saline wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943548												
Singleton2025	MFD00975	Qualitative			55,80665	12,24159	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943742												
Singleton2025	MFD00907	Qualitative			55,80284	12,33934	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27943758												
Singleton2025	MFD01308	Qualitative			55,81518	8,61364	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973115												
Singleton2025	MFD01212	Qualitative			56,25856	10,63396	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973132												
Singleton2025	MFD01485	Qualitative			55,44581	12,19796	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973287												
Singleton2025	MFD01114	Qualitative			56,24979	10,08117	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973407												
Singleton2025	MFD01448	Qualitative			56,86693	9,82677	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973429												
Singleton2025	MFD01238	Qualitative			56,5336	10,79926	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973487												
Singleton2025	MFD01151	Qualitative			55,13513	10,26784	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973522												
Singleton2025	MFD01073	Qualitative			55,8198	8,61585	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973523												
Singleton2025	MFD01885	Qualitative			57,65029	10,39139	Saline wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973526												
Singleton2025	MFD01878	Qualitative			56,52191	10,42384	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973533												
Singleton2025	MFD01622	Qualitative			57,73833	10,63488	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973617												
Singleton2025	MFD01103	Qualitative			56,89679	8,39621	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973658												
Singleton2025	MFD01947	Qualitative			57,28076	10,96584	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973723												
Singleton2025	MFD01863	Qualitative			56,31296	9,82947	Lake_Sediment	Sediment	Illumina NovaSeq 6000				SRR27973732												
Singleton2025	MFD01765	Qualitative			56,46911	8,31459	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973755												
Singleton2025	MFD01492	Qualitative			56,76313	8,82664	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973829												
Singleton2025	MFD01385	Qualitative			55,78651	10,31065	Saline wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973861												
Singleton2025	MFD01919	Qualitative			57,53837	10,2894	Lake_Sediment	Sediment	Illumina NovaSeq 6000				SRR27973894												
Singleton2025	MFD01656	Qualitative			55,65788	8,15414	Saline wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR27973958												
Singleton2025	MFD02579	Qualitative			57,28029	10,99053	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28002618												
Singleton2025	MFD02551	Qualitative			56,99691	8,43783	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28002647												
Singleton2025	MFD02151	Qualitative			56,45576	10,50838	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28002755												
Singleton2025	MFD02252	Qualitative			57,2815	10,9818	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28002804												
Singleton2025	MFD02921	Qualitative			56,61116	9,30872	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28003199												
Singleton2025	MFD02694	Qualitative			55,50723	8,71553	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28003322												
Singleton2025	MFD02530	Qualitative			56,80939	8,25039	Lake_Sediment	Sediment	Illumina NovaSeq 6000				SRR28003424												
Singleton2025	MFD03576	Qualitative			57,4377	10,4319	Agricultural Soil	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28011694												
Singleton2025	MFD03608	Qualitative			56,93369	9,48618	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28011825												
Singleton2025	MFD04220	Qualitative			54,9234	10,8145	stream 	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28012002												
Singleton2025	MFD04242	Qualitative			56,51725	8,95908	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28012167												
Singleton2025	MFD05071	Qualitative			55,52922	11,31225	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28022515												
Singleton2025	MFD04906	Qualitative			54,95229	9,56477	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28022528												
Singleton2025	MFD04512	Qualitative			55,01858	8,95127	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28022649												
Singleton2025	MFD04923	Qualitative			55,07135	9,32663	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28022937												
Singleton2025	MFD04760	Qualitative			55,37325	9,97936	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28022973												
Singleton2025	MFD04649	Qualitative			56,3706	9,8226	stream 	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28023011												
Singleton2025	MFD04541	Qualitative			55,71943	9,04101	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28023043												
Singleton2025	MFD04439	Qualitative			56,05624	12,54594	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28023071												
Singleton2025	MFD05037	Qualitative			55,37419	9,98192	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28023265												
Singleton2025	MFD05510	Qualitative			56,02956	8,45295	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28023824												
Singleton2025	MFD05655	Qualitative			57,0197	8,45295	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28023971												
Singleton2025	MFD05725	Qualitative			54,88364	12,14223	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28024122												
Singleton2025	MFD10274	Qualitative			55,4862	10,5984	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28060632												
Singleton2025	MFD10272	Qualitative			57,1265	8,6208	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28060635												
Singleton2025	MFD10254	Qualitative			55,5021	10,6131	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28060653												
Singleton2025	MFD10247	Qualitative			56,8039	10,2823	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28060661												
Singleton2025	MFD10363	Qualitative			57,1439	10,4287	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28060993												
Singleton2025	MFD10219	Qualitative			54,8378	11,4936	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28061030												
Singleton2025	MFD10217	Qualitative			55,0205	14,9119	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28061031												
Singleton2025	MFD09400	Qualitative			54,99118	15,07632	Dune	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061290												
Singleton2025	MFD09399	Qualitative			55,29396	14,77209	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061291												
Singleton2025	MFD09398	Qualitative			55,13179	14,95304	Lake_Sediment	Sediment	Illumina NovaSeq 6000				SRR28061292												
Singleton2025	MFD09680	Qualitative			55,43068	9,43337	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061466												
Singleton2025	MFD09669	Qualitative			55,12532	14,94716	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061478												
Singleton2025	MFD09360	Qualitative			55,04874	12,2533	Forest	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061558												
Singleton2025	MFD09615	Qualitative			55,29515	11,80578	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061621												
Singleton2025	MFD09307	Qualitative			54,85135	9,38989	Grassland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28061700												
Singleton2025	MFD09431	Qualitative			57,47609	10,17374	Peatland	Soil	Illumina NovaSeq 6000			PRJNA1071982	SRR28062018												
Singleton2025	MFD09831	Qualitative			55,8501	12,5382	stream 	Sediment	Illumina NovaSeq 6000			PRJNA1071982	SRR28062124												
Singleton2025	MFD12206	Qualitative			56,15	9,5427	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062196												
Singleton2025	MFD12194	Qualitative			55,7036	8,2215	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062209												
