Study	Site	pH	Salinity	Description	BioProject ID		Paired/Single	Comments	IMG id			T(°C)
Inskeep2013	YNP_08	3,3	0,09019	Hot spring	-	-			2022920005/2013515001)			73
Inskeep2013	YNP_14	3,5	0,0839	Hot spring	-	-			2022920007/2013954001			73
Inskeep2013	YNP_19	4,4	0,0892	Hot spring	-	-			2022920017/2015219000			79
Inskeep2013	YNP_011	7,9	0,04211	Hot spring	-	-			2022920012/2014031007			81
Inskeep2013	YNP_017	5,7	0,053	Hot spring	-	-			2022920021/2016842005			56
Inskeep2013	YNP_015	8	0,046	Hot spring	-	-			2022920016/2015219002			60
Inskeep2013	YNP_009	3,1	0,0833	Hot spring	-	-			2022920010/2014031004			70
Allioux2022	RB10	8,7	0,1807	Hot spring	PRJEB46766	ERR6412193						78,4
Allioux2022	RB13	7,61	0,0082	Hot spring	PRJEB46766	ERR6412194						93
Allioux2022	RB32	5,79	0,0074	Hot spring	PRJEB46766	ERR6412195						97
Allioux2022	RB108	9,59	0,0045	Hot spring	PRJEB46766	ERR6412196						101,3
Ugwuanyi2023	PLP_W	2,5	0,4878	Hot spring	PRJNA889931	SRR22299279			-	-	-	84,1
Ugwuanyi2023	SMP_Wb	1	0,000468	Hot spring	PRJNA889931	SRR22299280			-	-	-	42,5
Ugwuanyi2023	SMP_Wa	1	0,000486	Hot spring	PRJNA889931	SRR22299281			-	-	-	42,5
Kim24	April2014_1	7,9	0,003	Lake	PRJEB27578	ERR2681669				-	-	12,3
Kim24	Jul2015_1	8,4	0,003	Lake	PRJEB27578	ERR2681671				-	-	26,5
Kim24	Oct2014_1	7,1	0,0013	Lake	PRJEB27578	ERR2681673				-	-	19,5
Kim24	Oct2014_50	6,7	0,004	Lake	PRJEB27578	ERR2681674				-	-	7,3
Kim24	Jan2015_1	6,9	0,004	Lake	PRJEB27578 	ERR2681675				-	-	5,6
Kim24	Jan2015_50	6,9	0,004	Lake	PRJEB27578	ERR2681676				-	-	5,4
Sanseverino2022	09_Aug_2017Epi	8,7	0,01	Lake	PRJNA694367	SRR13516731				-	-	25,6
Sanseverino2022	09_Aug_2017Meso	7,2	0,0148	Lake	PRJNA694367	SRR13516732				-	-	8,7
Sanseverino2022	23_Aug_2017Epi	9,1	0,0095	Lake	PRJNA694367	SRR13516733				-	-	25,1
